page	status	article	images	note	date
03_Physical-Quantities/Angular-Velocity.md	added	Angular velocity	_attachments/03_Physical-Quantities/Angular-Velocity--wiki-angular-velocity.svg,_attachments/03_Physical-Quantities/Angular-Velocity--wiki-angular-velocity1.svg,_attachments/03_Physical-Quantities/Angular-Velocity--wiki-eulerframe.svg		2026-05-20
03_Physical-Quantities/Area.md	added	Area	_attachments/03_Physical-Quantities/Area--wiki-squaring-the-circle.svg,_attachments/03_Physical-Quantities/Area--wiki-archimedes-sphere-and-cylinder.svg,_attachments/03_Physical-Quantities/Area--wiki-area-conversion-square-mm-in-a-square-cm.png		2026-05-20
03_Physical-Quantities/Boltzmann-Constant.md	added	Boltzmann constant	_attachments/03_Physical-Quantities/Boltzmann-Constant--wiki-boltzmann2.jpg,_attachments/03_Physical-Quantities/Boltzmann-Constant--wiki-ideal-gas-law-relationships.svg,_attachments/03_Physical-Quantities/Boltzmann-Constant--wiki-max-planck-by-hugo-erfurth-1938cr-restor.jpg		2026-05-20
03_Physical-Quantities/Capacitance.md	added	Capacitance	_attachments/03_Physical-Quantities/Capacitance--wiki-vfpt-solenoid-correct2.svg,_attachments/03_Physical-Quantities/Capacitance--wiki-ah2700-cap-br.jpg,_attachments/03_Physical-Quantities/Capacitance--wiki-cylindrical-capacitorii.svg		2026-05-20
03_Physical-Quantities/Centripetal-Acceleration.md	added	Acceleration	_attachments/03_Physical-Quantities/Centripetal-Acceleration--wiki-gravity-gravita-grave.gif,_attachments/03_Physical-Quantities/Centripetal-Acceleration--wiki-1-d-kinematics.svg,_attachments/03_Physical-Quantities/Centripetal-Acceleration--wiki-acceleration-as-derivative-of-velocity-a.svg		2026-05-20
03_Physical-Quantities/Coefficient-of-Friction.md	added	Friction	_attachments/03_Physical-Quantities/Coefficient-of-Friction--wiki-friction-animation-2-blocks.gif,_attachments/03_Physical-Quantities/Coefficient-of-Friction--wiki-asperities.svg,_attachments/03_Physical-Quantities/Coefficient-of-Friction--wiki-cone-penetration-test.svg		2026-05-20
03_Physical-Quantities/Current.md	added	Electric current	_attachments/03_Physical-Quantities/Current--wiki-current-notation.svg,_attachments/03_Physical-Quantities/Current--wiki-electromagnetic-induction-solenoid-to-lo.gif,_attachments/03_Physical-Quantities/Current--wiki-magnetic-field-produced-by-an-electric-c.png		2026-05-20
03_Physical-Quantities/Decay-Constant.md	added	Exponential decay	_attachments/03_Physical-Quantities/Decay-Constant--wiki-plot-exponential-decay.svg		2026-05-20
03_Physical-Quantities/Density.md	added	Density	_attachments/03_Physical-Quantities/Density--wiki-air-density-vs-temperature.svg,_attachments/03_Physical-Quantities/Density--wiki-density-column.jpg,_attachments/03_Physical-Quantities/Density--wiki-ingots-of-ge-fe-al-re-os-one-troy-ounce-.jpg		2026-05-20
03_Physical-Quantities/Displacement.md	added	Displacement (geometry)	_attachments/03_Physical-Quantities/Displacement--wiki-distancedisplacement.svg,_attachments/03_Physical-Quantities/Displacement--wiki-stylised-atom-with-three-bohr-model-orbi.svg		2026-05-20
